# /dev/cpu_dma_latency set to 0us
policy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 1 (30085) P:80 I:1000 C:    417 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    417 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    417 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    427 Min:     10 Act:   15 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    427 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    427 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    427 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    437 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    437 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    437 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    437 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    448 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    448 Min:     11 Act:   18 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    447 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    447 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    458 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    458 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    457 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    458 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    468 Min:     10 Act:   13 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    468 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    468 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    468 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    478 Min:     10 Act:   13 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    478 Min:     11 Act:   12 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    478 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    478 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    488 Min:     10 Act:   13 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    488 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    488 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    488 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    498 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    498 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    498 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    498 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    509 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    509 Min:     11 Act:   18 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    508 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    508 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    519 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    519 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    518 Min:     10 Act:   14 Avg:   12 Max:      25
T: 3 (30087) P:80 I:1000 C:    519 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    529 Min:     10 Act:   13 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    529 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    529 Min:     10 Act:   14 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:    529 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    539 Min:     10 Act:   15 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    539 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    539 Min:     10 Act:   13 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:    539 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    549 Min:     10 Act:   13 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    549 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    549 Min:     10 Act:   14 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:    549 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    559 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    559 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    559 Min:     10 Act:   14 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:    559 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

T: 0 (30084) P:80 I:1000 C:    570 Min:     10 Act:   14 Avg:   13 Max:      19
T: 1 (30085) P:80 I:1000 C:    570 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    569 Min:     10 Act:   14 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:    570 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 2/183 30087          

T: 0 (30084) P:80 I:1000 C:    580 Min:     10 Act:   14 Avg:   13 Max:      26
T: 1 (30085) P:80 I:1000 C:    580 Min:     11 Act:   11 Avg:   11 Max:      19
T: 2 (30086) P:80 I:1000 C:    580 Min:     10 Act:   14 Avg:   13 Max:      25
T: 3 (30087) P:80 I:1000 C:    580 Min:     10 Act:   13 Avg:   12 Max:      15
[6Apolicy: fifo: loadavg: 0.14 0.24 0.12 1/183 30087          

